date, pm10, o3, no2, so2, co
2020/5/10, 18, 33, 3, , 
2020/5/11, 9, 31, 7, , 
2020/5/12, 8, 39, 4, , 
2020/5/14, 9, 38, 4, , 
2020/5/15, 8, 27, 3, , 
2020/5/16, 7, 34, 3, , 
2020/5/17, 6, 43, 8, , 
2020/5/18, 11, 45, 7, , 
2020/5/19, 14, 49, 12, , 
2020/5/20, 16, 46, 13, , 
2020/5/21, 18, 43, 12, , 
2020/5/22, 17, 43, 6, , 
2020/5/23, 13, 31, 2, , 
2020/5/24, 11, 37, 7, , 
2020/5/25, 15, 46, 10, , 
2020/5/26, 16, 47, 7, , 
2020/5/27, 16, 39, 5, , 
2020/5/28, 13, 43, 9, , 
2020/5/29, 14, 37, 4, , 
2020/5/30, 12, 41, 3, , 
2020/5/31, 8, 39, 5, , 
2020/6/1, 9, 42, 8, , 
2020/6/2, 11, 39, 5, , 
2020/6/3, 12, 46, 6, , 
2020/6/4, 10, 39, 7, , 
2020/6/5, 9, 37, 6, , 
2020/6/6, 10, 23, 3, , 
2020/6/7, 12, 31, 6, , 
2020/6/8, 6, 31, 9, , 
2020/6/9, 7, 41, 8, , 
2020/6/10, 7, 35, 7, , 
2020/6/11, 9, 35, 5, , 
2020/6/12, 15, 40, 6, , 
2020/6/13, 11, 41, 11, , 
2020/6/16, 10, 39, 7, , 
2020/6/17, 8, 32, 7, , 
2020/6/18, 8, 37, 9, , 
2020/6/19, 8, 32, 7, , 
2020/6/20, 9, 39, 7, , 
2020/6/21, 12, 30, 14, , 
2020/6/22, 16, 31, 7, , 
2020/6/23, 14, 35, 11, , 
2020/6/24, 37, 33, 13, , 
2020/6/25, 15, 42, 17, , 
2020/6/26, 14, 30, 8, , 
2020/6/27, 15, 38, 4, , 
2020/6/28, 20, 30, 7, , 
2020/6/29, 20, 28, 8, , 
2020/6/30, 16, 33, 13, , 
2020/1/1, 17, 19, 14, 1, 
2020/1/2, 16, 16, 16, 1, 
2020/1/3, 12, 18, 15, 1, 
2020/1/4, 14, 15, 13, , 
2020/1/5, 10, 25, 14, 1, 
2020/1/6, 12, 17, 20, , 
2020/1/7, 16, 15, 25, , 
2020/1/8, 14, 27, 20, 1, 
