Fecha,Estado_Actual
2020-06-30,1.8253943888154165
2020-07-01,1.8361583247253264
2020-07-02,1.830498344979772
2020-07-03,1.8293441269913056
2020-07-04,1.4215622821865976
2020-07-05,1.4129138065574205
2020-07-06,1.799481144753602
2020-07-07,1.8284288239575752
2020-07-08,1.8323722503435236
2020-07-09,1.836005001004666
2020-07-10,1.8353948193958949
2020-07-11,1.5130478695917697
2020-07-12,1.3996130530117374
2020-07-13,1.7892562482635324
2020-07-14,1.8149341681244822
2020-07-15,1.8424627213420317
2020-07-16,1.8212426895717504
2020-07-17,1.8046058558558558
2020-07-18,1.4150335570469799
2020-07-19,1.3459229435616753
2020-07-20,1.7320156339863144
2020-07-21,1.755116091353687
2020-07-22,1.7563339865621501
2020-07-23,1.7565583466703778
2020-07-24,1.7412695841336696
