Fecha,Estado_Actual,diadelasemana,findesemana
2020-02-28,2.0660295616717637,4,0
2020-02-29,1.728380883858649,5,1
2020-03-01,1.5837627914531682,6,1
2020-03-02,2.026092249067189,0,0
2020-03-03,2.006704852653837,1,0
2020-03-04,2.023180621105056,2,0
2020-03-05,2.0734515130854354,3,0
2020-03-06,2.10625281730955,4,0
2020-03-07,1.7928901268049549,5,1
2020-03-08,1.71353970566569,6,1
2020-03-09,1.9843694639012293,0,0
2020-03-10,2.008728607648426,1,0
2020-03-11,1.993563529547287,2,0
2020-03-12,2.000754828882988,3,0
2020-03-13,1.8803647709468778,4,0
2020-03-14,1.3234728823036064,5,1
2020-03-15,1.23923632495381,6,1
2020-03-16,1.4970485645291118,0,0
2020-03-17,1.858583438640396,1,0
2020-03-18,1.858583438640396,2,0
2020-03-19,1.858583438640396,3,0
2020-03-20,1.858583438640396,4,0
2020-03-21,1.858583438640396,5,1
2020-03-22,1.858583438640396,6,1
2020-03-23,2.0,0,0
2020-03-24,1.858583438640396,1,0
2020-03-25,1.858583438640396,2,0
2020-03-26,1.858583438640396,3,0
2020-03-27,1.858583438640396,4,0
2020-03-28,1.858583438640396,5,1
2020-03-29,1.858583438640396,6,1
2020-03-30,1.858583438640396,0,0
2020-03-31,1.858583438640396,1,0
2020-04-01,1.858583438640396,2,0
2020-04-02,1.858583438640396,3,0
2020-04-03,1.858583438640396,4,0
2020-04-04,1.858583438640396,5,1
2020-04-05,1.858583438640396,6,1
2020-04-06,1.858583438640396,0,0
2020-04-07,1.858583438640396,1,0
2020-04-08,1.858583438640396,2,0
2020-04-09,1.858583438640396,3,0
2020-04-10,1.858583438640396,4,0
2020-04-11,1.858583438640396,5,1
2020-04-12,1.858583438640396,6,1
2020-04-13,1.858583438640396,0,0
2020-04-14,1.858583438640396,1,0
2020-04-15,1.858583438640396,2,0
2020-04-16,1.858583438640396,3,0
2020-04-17,1.858583438640396,4,0
2020-04-18,1.858583438640396,5,1
2020-04-19,1.858583438640396,6,1
2020-04-20,1.858583438640396,0,0
2020-04-21,1.858583438640396,1,0
2020-04-22,1.858583438640396,2,0
2020-04-23,1.858583438640396,3,0
2020-04-24,1.858583438640396,4,0
2020-04-25,1.858583438640396,5,1
2020-04-26,1.858583438640396,6,1
2020-04-27,1.858583438640396,0,0
2020-04-28,1.858583438640396,1,0
2020-04-29,1.858583438640396,2,0
2020-04-30,1.858583438640396,3,0
2020-05-01,1.858583438640396,4,0
2020-05-02,1.858583438640396,5,1
2020-05-03,1.858583438640396,6,1
2020-05-04,1.858583438640396,0,0
2020-05-05,1.858583438640396,1,0
2020-05-06,1.858583438640396,2,0
2020-05-07,1.858583438640396,3,0
2020-05-08,1.858583438640396,4,0
2020-05-09,1.858583438640396,5,1
2020-05-10,1.858583438640396,6,1
