fecha,intensidad,ocupacion,carga
2018-06-01,237.0,4.0,20.0
2018-06-02,177.0,2.0,13.0
2018-06-03,153.0,2.0,11.0
2018-06-04,210.0,4.0,18.0
2018-06-05,211.0,4.0,18.0
2018-06-06,216.0,4.0,19.0
2018-06-07,222.0,4.0,19.0
2018-06-08,233.0,4.0,19.0
2018-06-09,176.0,2.0,13.0
2018-06-10,151.0,2.0,11.0
2018-06-11,208.0,4.0,18.0
2018-06-12,211.0,4.0,18.0
2018-06-13,216.0,4.0,18.0
2018-06-14,221.0,4.0,19.0
2018-06-15,229.0,4.0,19.0
2018-06-16,168.0,2.0,13.0
2018-06-17,148.0,2.0,11.0
2018-06-18,211.0,4.0,18.0
2018-06-19,212.0,4.0,18.0
2018-06-20,212.0,4.0,18.0
2018-06-21,221.0,4.0,19.0
2018-06-22,230.0,4.0,19.0
2018-06-23,166.0,2.0,13.0
2018-06-24,145.0,2.0,11.0
2018-06-25,203.0,3.0,17.0
2018-06-26,208.0,4.0,18.0
2018-06-27,212.0,4.0,18.0
2018-06-28,220.0,4.0,19.0
2018-06-29,229.0,4.0,19.0
2018-06-30,165.0,2.0,12.0
2018-07-01,140.0,2.0,10.0
2018-07-02,204.0,3.0,17.0
2018-07-03,202.0,3.0,17.0
2018-07-04,207.0,3.0,18.0
2018-07-05,212.0,3.0,18.0
2018-07-06,212.0,3.0,17.0
2018-07-07,149.0,2.0,11.0
2018-07-08,137.0,2.0,10.0
2018-07-09,200.0,3.0,17.0
2018-07-10,196.0,3.0,17.0
2018-07-11,197.0,3.0,17.0
2018-07-12,205.0,3.0,17.0
2018-07-13,209.0,3.0,17.0
2018-07-14,149.0,2.0,11.0
2018-07-15,132.0,2.0,10.0
2018-07-16,193.0,3.0,16.0
2018-07-17,192.0,3.0,16.0
2018-07-18,195.0,3.0,16.0
2018-07-19,199.0,3.0,17.0
2018-07-20,199.0,3.0,16.0
2018-07-21,139.0,2.0,10.0
2018-07-22,122.0,1.0,9.0
2018-07-23,185.0,3.0,15.0
2018-07-24,185.0,3.0,16.0
2018-07-25,190.0,3.0,16.0
2018-07-26,195.0,3.0,16.0
2018-07-27,195.0,3.0,16.0
2018-07-28,125.0,1.0,9.0
2018-07-29,111.0,1.0,8.0
2018-07-30,171.0,3.0,14.0
2018-07-31,173.0,3.0,14.0
2018-08-01,167.0,2.0,14.0
2018-08-02,171.0,2.0,14.0
2018-08-03,167.0,2.0,13.0
2018-08-04,120.0,1.0,9.0
2018-08-05,108.0,1.0,8.0
2018-08-06,149.0,2.0,12.0
2018-08-07,147.0,2.0,12.0
2018-08-08,148.0,2.0,12.0
2018-08-09,151.0,2.0,12.0
2018-08-10,148.0,2.0,12.0
2018-08-11,110.0,1.0,8.0
2018-08-12,100.0,1.0,7.0
2018-08-13,140.0,2.0,11.0
2018-08-14,138.0,2.0,11.0
2018-08-15,99.0,1.0,7.0
2018-08-16,138.0,2.0,11.0
2018-08-17,133.0,2.0,11.0
2018-08-18,102.0,1.0,7.0
2018-08-19,96.0,1.0,7.0
2018-08-20,141.0,2.0,11.0
2018-08-21,136.0,2.0,11.0
2018-08-22,141.0,2.0,11.0
2018-08-23,143.0,2.0,12.0
2018-08-24,144.0,2.0,11.0
2018-08-25,112.0,1.0,8.0
2018-08-26,104.0,1.0,7.0
2018-08-27,155.0,2.0,13.0
2018-08-28,177.0,2.0,14.0
2018-08-29,163.0,2.0,13.0
2018-08-30,170.0,3.0,14.0
2018-08-31,177.0,3.0,14.0
2018-09-01,140.0,2.0,10.0
2018-09-02,130.0,2.0,10.0
2018-09-03,197.0,4.0,17.0
2018-09-04,199.0,5.0,17.0
2018-09-05,200.0,5.0,18.0
2018-09-06,217.0,5.0,19.0
2018-09-07,219.0,5.0,18.0
2018-09-08,155.0,3.0,12.0
2018-09-09,140.0,2.0,10.0
2018-09-10,211.0,5.0,18.0
2018-09-11,209.0,5.0,18.0
2018-09-12,217.0,5.0,19.0
2018-09-13,239.0,5.0,20.0
2018-09-14,227.0,5.0,19.0
2018-09-15,162.0,3.0,12.0
2018-09-16,142.0,3.0,11.0
2018-09-17,212.0,5.0,19.0
2018-09-18,213.0,5.0,19.0
2018-09-19,217.0,5.0,19.0
2018-09-20,222.0,5.0,19.0
2018-09-21,232.0,5.0,20.0
2018-09-22,170.0,3.0,13.0
2018-09-23,150.0,3.0,11.0
2018-09-24,213.0,5.0,19.0
2018-09-25,214.0,5.0,19.0
2018-09-26,218.0,5.0,19.0
2018-09-27,223.0,5.0,19.0
2018-09-28,237.0,5.0,20.0
2018-09-29,178.0,3.0,13.0
2018-09-30,153.0,3.0,12.0
2018-10-01,218.0,5.0,19.0
2018-10-02,217.0,5.0,19.0
2018-10-03,220.0,5.0,19.0
2018-10-04,224.0,5.0,19.0
2018-10-05,232.0,5.0,19.0
2018-10-06,176.0,3.0,13.0
2018-10-07,153.0,3.0,11.0
2018-10-08,212.0,5.0,19.0
2018-10-09,215.0,5.0,19.0
2018-10-10,222.0,5.0,20.0
2018-10-11,232.0,5.0,20.0
2018-10-12,134.0,2.0,10.0
2018-10-13,144.0,3.0,11.0
2018-10-14,135.0,2.0,10.0
2018-10-15,214.0,5.0,19.0
2018-10-16,216.0,5.0,19.0
2018-10-17,216.0,5.0,19.0
2018-10-18,225.0,5.0,20.0
2018-10-19,240.0,5.0,20.0
2018-10-20,178.0,3.0,13.0
2018-10-21,152.0,3.0,11.0
2018-10-22,212.0,5.0,19.0
2018-10-23,216.0,5.0,19.0
2018-10-24,219.0,5.0,19.0
2018-10-25,225.0,5.0,20.0
2018-10-26,237.0,5.0,20.0
2018-10-27,178.0,3.0,13.0
2018-10-28,149.0,3.0,11.0
2018-10-29,215.0,5.0,19.0
2018-10-30,220.0,5.0,20.0
2018-10-31,237.0,6.0,21.0
2018-11-01,148.0,3.0,11.0
2018-11-02,189.0,4.0,16.0
2018-11-03,157.0,3.0,12.0
2018-11-04,140.0,3.0,10.0
2018-11-05,212.0,5.0,19.0
2018-11-06,216.0,5.0,19.0
2018-11-07,220.0,5.0,19.0
2018-11-08,231.0,5.0,20.0
2018-11-09,149.0,3.0,11.0
2018-11-10,137.0,3.0,10.0
2018-11-11,125.0,2.0,9.0
2018-11-12,217.0,5.0,19.0
2018-11-13,216.0,5.0,19.0
2018-11-14,244.0,5.0,21.0
2018-11-15,220.0,5.0,19.0
2018-11-16,235.0,5.0,20.0
2018-11-17,182.0,3.0,14.0
2018-11-18,150.0,3.0,11.0
2018-11-19,210.0,5.0,18.0
2018-11-20,212.0,5.0,19.0
2018-11-21,217.0,5.0,19.0
2018-11-22,223.0,5.0,19.0
2018-11-23,236.0,5.0,20.0
2018-11-24,184.0,3.0,14.0
2018-11-25,154.0,3.0,12.0
2018-11-26,213.0,5.0,19.0
2018-11-27,214.0,5.0,19.0
2018-11-28,216.0,5.0,19.0
