fecha,intensidad,ocupacion,carga
2020-10-22,167,3.0,14
2020-10-23,180,3.0,15
2020-10-24,123,2.0,9
2020-10-25,99,1.0,7
2020-10-26,162,3.0,13
2020-10-27,167,3.0,14
2020-10-28,169,3.0,14
2020-10-29,174,3.0,14
2020-10-30,182,3.0,15
2020-10-31,124,2.0,9
2020-11-01,100,1.0,7
2020-11-02,94,1.0,7
2020-11-03,169,3.0,14
2020-11-04,172,3.0,14
2020-11-05,175,3.0,14
2020-11-06,184,3.0,15
2020-11-07,122,2.0,9
2020-11-08,100,1.0,7
2020-11-09,99,1.0,7
2020-11-10,171,3.0,14
2020-11-11,173,3.0,14
2020-11-12,176,3.0,14
2020-11-13,188,3.0,15
2020-11-14,124,2.0,9
2020-11-15,97,1.0,7
2020-11-16,166,3.0,13
2020-11-17,168,3.0,14
2020-11-18,173,3.0,14
2020-11-19,177,3.0,14
2020-11-20,190,3.0,15
2020-11-21,130,2.0,10
2020-11-22,102,1.0,8
2020-11-23,179,3.0,15
2020-11-24,172,3.0,14
2020-11-25,175,3.0,14
2020-11-26,180,3.0,15
2020-11-27,194,3.0,16
2020-11-28,136,2.0,10
2020-11-29,105,1.0,8
2020-11-30,172,3.0,14
2020-12-01,176,3.0,14
2020-12-02,180,3.0,15
2020-12-03,184,3.0,15
2020-12-04,193,3.0,16
2020-12-05,120,1.0,9
2020-12-06,120,1.0,9
2020-12-07,100,1.0,7
2020-12-08,130,1.0,9
2020-12-09,223,3.0,17
2020-12-10,183,3.0,15
2020-12-11,196,3.0,16
2020-12-12,136,2.0,10
2020-12-13,106,1.0,8
2020-12-14,187,3.0,15
2020-12-15,179,3.0,15
2020-12-16,181,3.0,15
2020-12-17,187,3.0,15
2020-12-18,195,3.0,16
2020-12-19,133,2.0,10
2020-12-20,108,1.0,8
2020-12-21,182,3.0,15
2020-12-22,183,3.0,15
2020-12-23,176,3.0,14
2020-12-24,121,2.0,9
2020-12-25,83,1.0,6
2020-12-26,106,1.0,8
2020-12-27,93,1.0,7
2020-12-28,153,2.0,12
2020-12-29,157,2.0,12
2020-12-30,163,2.0,13
2020-12-31,115,2.0,9
