date,pm10,no2,year,month,day,week,season,season_name,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4,PCA5
2018-07-30,27.0,12.0,2018,7,30,31,3,Summer,0,0,-4.41764346304039,-1.0423098799746866,-5.055017428870331,10.390640102223111,-3.638435291103445
2018-07-31,28.0,18.0,2018,7,31,31,3,Summer,1,0,-4.40057652815817,-1.5776247707251012,-4.994521073325665,10.561393838507529,-3.837987623212276
2018-08-01,35.0,29.0,2018,8,1,31,3,Summer,2,0,-3.470250373460167,-2.5045486376587283,-4.225865450639802,10.940333849823006,-0.11388940060106693
2018-08-02,44.0,29.0,2018,8,2,31,3,Summer,3,0,-4.428386059213079,-3.362068920164095,-4.32665612303308,11.500570816670649,-1.6198064300661648
2018-08-03,37.0,25.0,2018,8,3,31,3,Summer,4,0,-3.436789306045579,-2.6800694613151794,-4.802082156463941,12.313410496666718,-3.0250660272299963
2018-08-04,32.0,23.0,2018,8,4,31,3,Summer,5,1,-14.537708238893563,-1.9271597103757152,-5.155623082282736,12.304799060477501,0.33082195362297667
2018-08-05,34.0,14.0,2018,8,5,31,3,Summer,6,1,74.37214328868582,1.5938291931335697,-3.1837030384523706,15.207437388318848,-1.6831283979586533
2018-08-06,32.0,17.0,2018,8,6,32,3,Summer,0,0,-15.456581282349733,-0.5319161343270977,-5.330573989714916,10.216779259604976,-2.954211211715176
2018-08-07,39.0,17.0,2018,8,7,32,3,Summer,1,0,-4.616450538807529,1.9921853804148775,-4.961429571613556,9.85573267918917,1.415375259694992
2018-08-08,34.0,12.0,2018,8,8,32,3,Summer,2,0,-14.553713949852881,0.7162508078196271,-4.393624993000931,9.26963431376965,-0.12312296516810338
2018-08-09,24.0,18.0,2018,8,9,32,3,Summer,3,0,-15.545895817222025,-0.8926345592266484,0.16072381063069233,5.72754113436135,4.143224303194863
2018-08-10,16.0,11.0,2018,8,10,32,3,Summer,4,0,-11.109693606179613,-10.35539468851443,-1.264314838786252,6.5568662950842675,0.21001178164895734
2018-08-11,12.0,15.0,2018,8,11,32,3,Summer,5,1,-13.11210907596091,-9.403419912830556,-2.0215651449877585,7.007732947712402,-1.1120249577181225
2018-08-12,17.0,12.0,2018,8,12,32,3,Summer,6,1,-3.5280378942696466,-0.47933782272815995,-3.070197290035592,7.294760873909261,4.444208705891091
2018-08-13,19.0,12.0,2018,8,13,33,3,Summer,0,0,-16.580285666269415,2.2556915085297806,-3.8544503256889433,7.617846570464581,0.41243472925573355
2018-08-14,15.0,10.0,2018,8,14,33,3,Summer,1,0,-4.3996939008858575,-1.6435971378942391,-2.7740937229886584,5.820685304777207,2.143640242601306
2018-08-15,14.0,8.0,2018,8,15,33,3,Summer,2,0,-4.366655390056986,-3.4947298420485895,-3.2016742269913867,7.848666556266077,0.6432002281209639
2018-08-16,19.0,13.0,2018,8,16,33,3,Summer,3,0,-3.5140572915332773,-0.09103450960205232,-4.109411757417273,8.585014096137114,1.7015595021744203
2018-08-17,17.0,16.0,2018,8,17,33,3,Summer,4,0,-16.521767374157456,5.716660728742752,22.03453980593302,9.296120019930544,5.654532737214266
2018-08-18,11.0,13.0,2018,8,18,33,3,Summer,5,1,9.770148929368933,-5.462844368052803,-1.9227103880980467,6.783592004762898,-0.8065691793447742
2018-08-19,13.0,15.0,2018,8,19,33,3,Summer,6,1,-4.27563946513067,-6.294670058878697,-2.9247352803874724,8.91653221039049,-0.7282507489069278
2018-08-20,17.0,18.0,2018,8,20,34,3,Summer,0,0,-3.35695690357223,-3.4868422629046343,-3.838769776435781,9.3719629219356,-1.3740382448626913
2018-08-21,22.0,23.0,2018,8,21,34,3,Summer,1,0,-3.437710579511084,-1.5414839973484593,-3.8317746547303044,8.51865996136467,0.2951634688352544
2018-08-22,19.0,14.0,2018,8,22,34,3,Summer,2,0,-21.329228514843496,-3.0779804213777338,-5.05157154748304,9.559580940608235,-4.175285745117632
2018-08-23,24.0,21.0,2018,8,23,34,3,Summer,3,0,-5.429962758861951,-0.7052681436521973,-4.179381720336791,8.198398584699085,-0.9057570193012228
