date,pm10,no2,year,month,day,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,week,season,season_name,estado_trafico,diadelasemana,findesemana
2018-02-27,21.0,22.0,2018,2,27,2.7,3.4,0.8,0.8,8.0,2.8,11.9,0.0,1010.3,1008.5,9,1,Winter,2.0229555236728842,1,0
2018-02-28,14.0,29.0,2018,2,28,3.8,7.6,0.1,0.1,9.0,3.9,12.8,0.0,1009.4,997.3,9,1,Winter,1.927439919635268,2,0
2018-03-01,19.0,17.0,2018,3,1,10.8,0.8,7.1,7.1,27.0,3.9,11.1,0.6,997.4,987.4,9,2,Spring,2.1310537018904867,3,0
2018-03-02,20.0,23.0,2018,3,2,12.4,3.0,9.7,9.7,29.0,5.8,24.2,4.4,1002.1,989.6,9,2,Spring,2.202225886232481,4,0
2018-03-03,11.0,25.0,2018,3,3,14.4,0.0,10.2,10.2,27.0,4.2,16.4,4.3,1001.8,994.8,9,2,Spring,1.8075689016865488,5,1
2018-03-04,17.0,27.0,2018,3,4,12.8,1.2,10.3,10.3,9.0,3.1,8.3,2.0,999.0,995.0,9,2,Spring,1.663185137258527,6,1
2018-03-05,18.0,15.0,2018,3,5,12.2,3.5,9.4,9.4,32.0,2.8,14.4,4.3,998.0,989.4,10,2,Spring,2.043247791333614,0,0
2018-03-06,12.0,23.0,2018,3,6,13.3,0.0,9.1,9.1,26.0,5.0,14.7,9.1,1000.3,991.6,10,2,Spring,2.0430552177085866,1,0
2018-03-07,11.0,29.0,2018,3,7,12.4,0.0,8.3,8.3,33.0,3.9,10.8,9.8,1011.5,1000.3,10,2,Spring,2.0874258780599058,2,0
2018-03-08,14.0,30.0,2018,3,8,11.7,0.0,8.2,8.2,23.0,3.6,11.4,1.0,1011.9,1008.6,10,2,Spring,2.111347941000938,3,0
2018-03-09,25.0,20.0,2018,3,9,12.4,0.0,9.8,9.8,20.0,3.1,9.4,9.2,1012.9,1009.0,10,2,Spring,2.089819402269458,4,0
2018-03-10,29.0,16.0,2018,3,10,16.1,0.7,12.2,12.2,25.0,3.9,12.2,8.6,1009.1,1002.0,10,2,Spring,1.8043231935849384,5,1
2018-03-11,22.0,12.0,2018,3,11,15.6,0.0,12.7,12.7,25.0,4.7,16.1,5.2,1002.3,998.5,10,2,Spring,1.945907346246541,6,1
2018-03-12,12.0,28.0,2018,3,12,15.4,0.0,11.7,11.7,30.0,3.6,17.5,8.1,1015.0,1002.2,11,2,Spring,2.016988143691382,0,0
2018-03-13,16.0,29.0,2018,3,13,12.8,0.0,9.8,9.8,26.0,3.6,10.0,1.5,1015.8,1013.3,11,2,Spring,2.004737433756223,1,0
2018-03-14,26.0,21.0,2018,3,14,11.3,0.3,8.1,8.1,22.0,3.3,7.8,4.7,1014.6,1000.5,11,2,Spring,2.0730346166289233,2,0
2018-03-15,24.0,20.0,2018,3,15,16.0,0.0,12.4,12.4,27.0,3.6,11.7,6.4,1002.2,997.2,11,2,Spring,2.0635858234885336,3,0
2018-03-16,17.0,11.0,2018,3,16,14.1,0.0,11.3,11.3,29.0,3.6,10.6,9.0,1003.8,999.8,11,2,Spring,2.082513792276325,4,0
2018-03-17,14.0,12.0,2018,3,17,11.6,0.5,7.7,7.7,24.0,4.7,13.6,5.2,1002.2,995.5,11,2,Spring,1.8355567413731768,5,1
2018-03-18,7.0,23.0,2018,3,18,10.3,0.0,6.4,6.4,32.0,4.2,10.8,11.0,1005.3,996.5,11,2,Spring,1.6930096904694705,6,1
2018-03-19,12.0,16.0,2018,3,19,10.2,25.1,5.3,5.3,23.0,3.1,13.9,7.4,1006.7,999.6,12,2,Spring,2.0315727103436596,0,0
2018-03-20,15.0,17.0,2018,3,20,7.4,0.0,2.5,2.5,31.0,3.6,12.2,3.7,1014.5,1000.0,12,2,Spring,2.0879707029695087,1,0
2018-03-21,13.0,22.0,2018,3,21,9.0,0.0,5.3,5.3,33.0,4.4,10.0,10.8,1020.6,1014.3,12,2,Spring,2.0351796975913685,2,0
2018-03-22,18.0,17.0,2018,3,22,11.0,0.0,5.5,5.5,30.0,4.4,11.4,11.1,1020.1,1011.8,12,2,Spring,2.0555077115791116,3,0
2018-03-23,19.0,22.0,2018,3,23,12.2,2.6,8.0,8.0,34.0,2.2,7.8,10.7,1011.9,998.8,12,2,Spring,2.1355944460514897,4,0
2018-03-24,18.0,13.0,2018,3,24,8.7,31.4,6.7,6.7,32.0,3.1,12.8,0.0,1001.5,993.1,12,2,Spring,1.7503766061143111,5,1
2018-03-25,7.0,17.0,2018,3,25,10.6,0.0,8.4,8.4,35.0,1.9,8.9,0.1,1012.1,1001.4,12,2,Spring,1.6467878486055776,6,1
2018-03-26,14.0,19.0,2018,3,26,12.9,1.9,8.3,8.3,22.0,3.6,8.3,9.2,1019.8,1012.1,13,2,Spring,1.924634334103156,0,0
2018-03-27,13.0,23.0,2018,3,27,11.6,0.0,8.8,8.8,22.0,4.4,9.2,9.3,1021.3,1017.5,13,2,Spring,1.885956964892412,1,0
2018-03-28,21.0,18.0,2018,3,28,15.4,0.0,11.1,11.1,26.0,3.6,12.8,11.5,1017.5,1009.9,13,2,Spring,1.9202429149797569,2,0
2018-03-29,23.0,11.0,2018,3,29,13.2,0.0,10.7,10.7,22.0,3.1,8.1,10.4,1010.3,1006.5,13,2,Spring,1.8044298288035596,3,0
2018-03-30,16.0,7.0,2018,3,30,15.0,0.0,11.0,11.0,27.0,3.6,16.1,9.5,1006.5,1000.5,13,2,Spring,1.50512715340443,4,0
2018-03-31,12.0,8.0,2018,3,31,13.2,0.0,9.1,9.1,32.0,7.8,18.9,8.7,1014.9,999.3,13,2,Spring,1.5901203966005666,5,1
2018-04-01,9.0,17.0,2018,4,1,11.6,0.0,8.7,8.7,24.0,4.2,9.2,11.1,1018.5,1014.4,13,2,Spring,1.5854885691587959,6,1
2018-04-02,12.0,20.0,2018,4,2,13.2,0.0,9.5,9.5,8.0,3.3,8.6,6.8,1014.4,1008.0,14,2,Spring,1.5605119518162995,0,0
2018-04-03,21.0,17.0,2018,4,3,14.2,0.0,12.1,12.1,25.0,3.6,10.6,9.2,1009.4,1006.4,14,2,Spring,1.981260647359455,1,0
2018-04-04,33.0,20.0,2018,4,4,17.7,0.0,13.1,13.1,30.0,4.2,14.7,11.4,1015.3,1007.3,14,2,Spring,2.059479553903346,2,0
2018-04-05,29.0,22.0,2018,4,5,14.6,0.0,12.0,12.0,9.0,3.6,8.3,10.7,1020.0,1015.3,14,2,Spring,2.0621792487913724,3,0
2018-04-06,26.0,5.0,2018,4,6,13.2,0.1,10.2,10.2,8.0,2.8,9.7,4.3,1017.7,1012.6,14,2,Spring,2.1483691653723533,4,0
2018-04-07,22.0,8.0,2018,4,7,13.9,0.2,12.7,12.7,9.0,9.2,15.6,0.7,1012.8,1005.9,14,2,Spring,1.7694290624403284,5,1
2018-04-08,24.0,16.0,2018,4,8,13.6,6.0,11.9,11.9,9.0,4.7,11.1,0.0,1005.9,1002.4,14,2,Spring,1.6075394506136762,6,1
2018-04-09,14.0,16.0,2018,4,9,12.8,0.1,10.2,10.2,30.0,3.3,11.7,8.6,1007.9,1005.2,15,2,Spring,2.0330100391356134,0,0
2018-04-10,15.0,10.0,2018,4,10,12.2,18.7,9.5,9.5,20.0,4.7,11.4,7.6,1007.0,996.3,15,2,Spring,2.0490129913953097,1,0
2018-04-11,24.0,20.0,2018,4,11,11.4,1.9,8.9,8.9,14.0,6.4,20.0,6.1,996.6,991.6,15,2,Spring,2.130498414505244,2,0
2018-04-12,22.0,21.0,2018,4,12,12.2,0.1,8.8,8.8,20.0,5.0,10.3,8.8,1004.5,996.2,15,2,Spring,2.069250689165483,3,0
2018-04-13,20.0,15.0,2018,4,13,12.6,0.9,11.0,11.0,15.0,4.7,9.4,0.4,1014.2,1004.3,15,2,Spring,2.123416393992785,4,0
2018-04-14,22.0,16.0,2018,4,14,13.4,7.7,12.2,12.2,34.0,2.2,9.4,0.0,1016.6,1013.4,15,2,Spring,1.8440453686200375,5,1
2018-04-15,23.712691771269174,24.0,2018,4,15,17.2,0.0,13.3,13.3,22.0,3.6,8.9,9.8,1014.9,1010.4,15,2,Spring,1.8017841213202497,6,1
