date, pm25, pm10, o3, no2, so2, co
2020/4/7, 36, 15, , 10, , 
2020/4/8, 49, 11, , 7, , 
2020/4/9, 41, 11, , 4, , 
2020/4/10, 42, 13, , 3, , 
2020/4/11, 48, 13, , 3, , 
2020/4/12, 43, 13, , 7, , 
2020/4/13, 48, 13, , 10, , 
2020/4/14, 50, 10, , 6, , 
2020/4/15, 38, 8, , 7, , 
2020/4/16, 30, 10, , 8, , 
2020/4/17, 35, 12, , 9, , 
2020/4/18, 43, 6, , 4, , 
2020/4/19, 24, 10, , 8, , 
2020/4/20, 34, 4, , 3, , 
2020/4/21, 16, 9, , 11, , 
2020/4/22, 32, 13, , 7, , 
2020/4/23, 47, 12, , 7, , 
2020/4/24, 41, 14, , 3, , 
2020/4/25, 48, 13, , 2, , 
2020/4/26, 42, 9, , 3, , 
2020/4/27, 33, 8, , 4, , 
2020/4/28, 30, 9, , 7, , 
2020/4/29, 29, 12, , 2, , 
2020/4/30, 43, 8, , 1, , 
2020/5/1, 28, 7, , 4, , 
2020/5/2, 25, 14, , 6, , 
2020/5/3, 47, 25, , 8, , 
2020/5/4, 61, 9, , 4, , 
2020/5/5, 28, 9, , 10, , 
2020/5/6, 27, 20, , 7, , 
2020/5/7, 50, 11, , 5, , 
2020/5/8, 28, 13, , 3, , 
2020/5/9, 50, 1, , 1, , 
2020/5/10, 5, 1, , 2, , 
2020/5/11, 5, 9, , 7, , 
2020/5/12, 35, 25, , 4, , 
2020/5/13, 82, , , 6, , 
2020/5/18, 5, 9, , 9, , 
2020/5/19, 24, 9, , 8, , 
2020/5/20, 21, 4, , 12, , 
2020/5/21, 8, 6, , 9, , 
2020/5/22, 7, 8, , 6, , 
2020/5/23, 32, 1, , 2, , 
2020/5/25, 25, 9, , 5, , 
2020/5/26, 23, 10, , 7, , 
2020/5/27, 22, 12, , 6, , 
2020/5/28, 28, 13, , 10, , 
2020/5/29, 40, 18, , 9, , 
2020/5/30, 25, 14, , 5, , 
2020/5/31, 5, 12, , 8, , 
2020/6/4, 24, 9, , 7, , 
2020/6/5, 19, 13, , 3, , 
2020/6/6, 27, 10, , 3, , 
2020/6/7, 24, 7, , 4, , 
2020/6/8, 17, 7, , 5, , 
2020/6/9, 16, 9, , 5, , 
2020/6/10, 17, 17, , 5, , 
2020/6/11, 25, 13, , 3, , 
2020/6/12, 18, 8, , 2, , 
2020/6/13, 24, 11, , 3, , 
2020/6/14, 28, 10, , 5, , 
2020/6/15, 23, 15, , 4, , 
2020/6/16, 19, 7, , 4, , 
2020/6/17, 20, 10, , 6, , 
2020/6/18, 23, 15, , 7, , 
2020/6/19, 32, 10, , 7, , 
2020/6/20, 23, 15, , 9, , 
2020/6/21, 37, 16, , 9, , 
2020/6/22, 30, 22, , 13, , 
2020/6/23, 39, 25, , 14, , 
2020/6/24, 44, 24, , 8, , 
2020/6/25, 43, 23, , 8, , 
2020/6/26, 42, 12, , 5, , 
2020/6/27, 28, 9, , 5, , 
2020/6/28, 22, 14, , 9, , 
2020/6/29, 28, 21, , 8, , 
2020/6/30, 40, 17, , 9, , 
2020/1/1, 85, 27, , 28, , 
2020/1/2, 74, 37, , 29, , 
