date, pm25, pm10, o3, no2, so2, co
2020/1/11, 33, 18, , 32, , 
2020/1/12, 47, 23, , 35, , 
2020/1/13, 55, 24, , 33, , 
2020/1/14, 55, 27, , 37, , 
2020/1/15, 59, 33, , 32, , 
2020/1/16, 69, 18, , 21, , 
2020/1/17, 45, 16, , 25, , 
2020/1/18, 47, 19, , 9, , 
2020/1/19, 52, 10, , 6, , 
2020/1/20, 36, 6, , 7, , 
2020/1/21, 23, 16, , 11, , 
2020/1/22, 36, 41, , 17, , 
2020/1/23, 63, 25, , 19, , 
2020/1/24, 41, 19, , 16, , 
2020/1/25, 50, 14, , 17, , 
2020/1/26, 46, 10, , 20, , 
2020/1/27, 31, 9, , 10, , 
2020/1/28, 17, 12, , 13, , 
2020/1/29, 23, 13, , 14, , 
2020/1/30, 28, 10, , 14, , 
2020/1/31, 23, 6, , 9, , 
2020/2/1, 18, 15, , 17, , 
2020/2/2, 47, 33, , 20, , 
2020/2/3, 56, 41, , 28, , 
2020/2/4, 67, 7, , 20, , 
2020/2/5, 18, 21, , 28, , 
2020/2/6, 52, 27, , 25, , 
2020/2/7, 62, 31, , 26, , 
2020/2/8, 70, 21, , 19, , 
2020/2/9, 60, 16, , 21, , 
2020/2/10, 51, , , , , 
2020/2/13, 58, 20, , 22, , 
2020/2/14, 58, 21, , 21, , 
2020/2/15, 62, 20, , 19, , 
2020/2/16, 62, 13, , 17, , 
2020/2/17, 42, 8, , 16, , 
2020/2/18, 26, 12, , 21, , 
2020/2/19, 26, 22, , 31, , 
2020/2/20, 48, 18, , 30, , 
2020/2/21, 40, 21, , 31, , 
2020/2/22, 49, 14, , 24, , 
2020/2/23, 35, 20, , 30, , 
2020/2/24, 43, 18, , 27, , 
2020/2/25, 38, 10, , 15, , 
2020/2/26, 22, 61, , 15, , 
2020/2/27, 52, 56, , 27, , 
2020/2/28, 64, 36, , 11, , 
2020/2/29, 41, 6, , 6, , 
2020/3/1, 15, 7, , 8, , 
2020/3/2, 15, 7, , 15, , 
2020/3/3, 20, 5, , 12, , 
2020/3/4, 21, 7, , 11, , 
2020/3/5, 23, 6, , 13, , 
2020/3/6, 16, 9, , 18, , 
2020/3/7, 24, 11, , 15, , 
2020/3/8, 36, 10, , 17, , 
2020/3/9, 32, 23, , 35, , 
2020/3/10, 56, 20, , 31, , 
2020/3/11, 49, 19, , 26, , 
2020/3/12, 49, 19, , 19, , 
2020/3/13, 49, 10, , 7, , 
2020/3/14, 31, 10, , 5, , 
2020/3/15, 32, 4, , 6, , 
2020/3/16, 16, 2, , 5, , 
2020/3/17, 12, 18, , 11, , 
2020/3/18, 43, 19, , 7, , 
2020/3/19, 45, 27, , 4, , 
2020/3/20, 40, 10, , 5, , 
2020/3/21, 32, 4, , 3, , 
2020/3/22, 14, 2, , 5, , 
2020/3/23, 14, 6, , 4, , 
2020/3/24, 16, 12, , 8, , 
2020/3/25, 29, 9, , 8, , 
2020/3/26, 25, 8, , 4, , 
2020/3/27, 32, 5, , 5, , 
2020/3/28, 20, 8, , 11, , 
2020/3/29, 27, , , , , 
2019/10/1, 35, 15, 30, 11, 3, 
2019/10/2, 25, 13, 21, 24, 5, 
2019/10/3, 21, 19, 3, 28, 5, 
2019/10/4, 29, 18, , 19, 3, 
2019/10/5, 30, 16, , 17, 4, 
2019/10/6, 31, 14, , 29, 5, 
2019/10/7, 30, 17, , 27, 5, 
2019/10/8, 28, 19, , 24, 5, 
2019/10/9, 31, 19, , 21, 4, 
2019/10/10, 28, 25, , 24, 4, 
2019/10/11, 47, 22, , 10, 3, 
2019/10/12, 38, 20, , 15, 4, 
2019/10/13, 37, 22, , 12, 4, 
2019/10/14, 39, 10, 20, 14, 4, 
2019/10/15, 17, 12, 21, 17, 4, 
2019/10/16, 21, 16, 11, 21, 4, 
2019/10/17, 33, 13, 12, 14, 3, 
2019/10/18, 31, 11, 22, 10, 3, 
2019/10/19, 22, 7, 21, 8, 4, 
2019/10/20, 19, 7, 19, 17, 5, 
2019/10/21, 24, 7, 14, 15, 4, 
2019/10/22, 17, 8, 14, 17, 4, 
2019/10/23, 23, 11, 11, 22, 4, 
2019/10/24, 24, 20, , 30, 7, 
2019/10/25, 49, 25, , 25, 7, 
2019/10/26, 60, 16, , 23, 7, 
