date, pm25, pm10, o3, no2, so2, co
2019/7/27, 20, 8, , 6, , 
2019/7/28, 19, 11, , 8, , 
2019/7/29, 29, 12, , 19, , 
2019/7/30, 26, 20, , 21, , 
2019/7/31, 43, 25, , 16, , 
2019/8/1, 55, 23, , 17, , 
2019/8/2, 51, 45, , 30, , 
2019/8/3, 61, 24, , 25, , 
2019/8/4, 55, 23, , 15, , 
2019/8/5, 58, 20, , 20, , 
2019/8/6, 54, 17, , 17, , 
2019/8/7, 43, 12, , 13, , 
2019/8/8, 28, 16, , 13, , 
2019/8/9, 39, 13, , 6, , 
2019/8/10, 33, 16, , 10, , 
2019/8/11, 41, 13, , 10, , 
2019/8/12, 29, 14, , 14, , 
2019/8/13, 30, 15, , 13, , 
2019/8/14, 36, 20, , 23, , 
2019/8/15, 51, 19, , 21, , 
2019/8/16, 50, 23, , 16, , 
2019/8/17, 56, 19, , 19, , 
2019/8/18, 51, 16, , 19, , 
2019/8/19, 42, 14, , 13, , 
2019/8/20, 37, 15, , 13, , 
2019/8/21, 41, 19, , 13, , 
2019/8/22, 50, 23, , 27, , 
2019/8/23, 56, 26, , 33, , 
2019/8/24, 61, 25, , 28, , 
2019/8/25, 61, 21, , 15, , 
2019/8/26, 54, 21, , 16, , 
2019/8/27, 55, 24, , 24, , 
2019/8/28, 61, 28, , 38, , 
2019/8/29, 68, 27, , 38, , 
2019/8/30, 64, 25, , 32, , 
2019/8/31, 66, 26, , 29, , 
2019/9/1, 65, 19, , 27, , 
2019/9/2, 55, 21, , 21, , 
2019/9/3, 57, 21, , 23, , 
2019/9/4, 57, 18, , 33, , 
2019/9/5, 50, 12, , 15, , 
2019/9/6, 33, 12, , 20, , 
2019/9/7, 34, 16, , 16, , 
2019/9/8, 44, 16, , 16, , 
2019/9/9, 45, 14, , 20, , 
2019/9/10, 34, 11, , 11, , 
2019/9/11, 30, 15, , 16, , 
2019/9/12, 40, 20, , 25, , 
2019/9/13, 53, 17, , 26, , 
2019/9/14, 52, 19, , 19, , 
2019/9/15, 54, 21, , 22, , 
2019/9/16, 55, 25, , 25, , 
2019/9/17, 64, 19, , 24, , 
2019/9/18, 54, 22, , 29, , 
2019/9/19, 58, 27, , 35, , 
2019/9/20, 64, 25, , 23, , 
2019/9/21, 63, 20, , 18, , 
2019/9/22, 57, 15, , 11, , 
2019/9/23, 46, 19, , 27, , 
2019/9/24, 54, 14, , 21, , 
2019/9/25, 40, 14, , 18, , 
2019/9/26, 39, 22, , 34, , 
2019/9/27, 55, 16, , 36, , 
2019/9/28, 46, 18, , 35, , 
2019/9/29, 51, 17, , 25, , 
2019/9/30, 49, 22, , 43, , 
2019/4/1, 31, 14, , 24, , 
2019/4/2, 37, 14, , 22, , 
2019/4/3, 38, 12, , 20, , 
2019/4/4, 27, 15, , 19, , 
2019/4/5, 22, 6, , 11, , 
2019/4/6, 17, 6, , 12, , 
2019/4/7, 16, 7, , 14, , 
2019/4/8, 23, 7, , 13, , 
2019/4/9, 19, 6, , 14, , 
2019/4/10, 17, 10, , 33, , 
2019/4/11, 29, 19, , 28, , 
2019/4/12, 43, 16, , 32, , 
2019/4/13, 47, 15, , 21, , 
2019/4/14, 43, 16, , 20, , 
2019/4/15, 44, 15, , 31, , 
2019/4/16, 33, 20, , 23, , 
2019/4/17, 46, 20, , 17, , 
2019/4/18, 46, 6, , 18, , 
2019/4/19, 22, 10, , 15, , 
2019/4/20, 31, 12, , 15, , 
2019/4/21, 35, 13, , 22, , 
2019/4/22, 40, 14, , 15, , 
2019/4/23, 79, 5, , 18, , 
2019/4/24, 17, 6, , 13, , 
2019/4/25, 19, 8, , 15, , 
2019/4/26, 22, 12, , 34, , 
2019/4/27, 36, 18, , 27, , 
2019/4/28, 52, 15, , 30, , 
2019/4/29, 42, 16, , 27, , 
2019/4/30, 43, 15, , 16, , 
2019/5/1, 41, 10, , 16, , 
2019/5/2, 30, 13, , 20, , 
2019/5/3, 37, 9, , 15, , 
2019/5/4, 24, 8, , 14, , 
2019/5/5, 22, 14, , 24, , 
2019/5/6, 27, 15, , 15, , 
2019/5/7, 36, 10, , 8, , 
2019/5/8, 24, 9, , 14, , 
2019/5/9, 19, 9, , 10, , 
2019/5/10, 21, 12, , 20, , 
2019/5/11, 30, 11, , 18, , 
2019/5/12, 26, 15, , 30, , 
2019/5/13, 31, 19, , 34, , 
2019/5/14, 41, 24, , 32, , 
2019/5/15, 53, 22, , 25, , 
2019/5/16, 52, 20, , 11, , 
2019/5/17, 39, 7, , 8, , 
2019/5/18, 14, 6, , 12, , 
2019/5/19, 16, 9, , 20, , 
2019/5/20, 22, 11, , 26, , 
2019/5/21, 25, 16, , 28, , 
2019/5/22, 35, 21, , 33, , 
2019/5/23, 51, 21, , 20, , 
2019/5/24, 39, 11, , 14, , 
2019/5/25, 24, 9, , 13, , 
2019/5/26, 21, 10, , 21, , 
2019/5/27, 27, 11, , 18, , 
2019/5/28, 28, 11, , 18, , 
2019/5/29, 22, 10, , 24, , 
2019/5/30, 23, 13, , 38, , 
2019/5/31, 30, 18, , 31, , 
2019/6/1, 47, 19, , 22, , 
2019/6/2, 46, 19, , 36, , 
2019/6/3, 49, 22, , 18, , 
2019/6/4, 49, 15, , 9, , 
2019/6/5, 28, 12, , 17, , 
2019/6/6, 22, 14, , 12, , 
2019/6/7, 23, 10, , 21, , 
2019/6/8, 22, 18, , 15, , 
2019/6/9, 37, 14, , 16, , 
2019/6/10, 30, 11, , 17, , 
2019/6/11, 27, 10, , 22, , 
2019/6/12, 20, 16, , 21, , 
2019/6/13, 38, 19, , 18, , 
2019/6/14, 40, 13, , 16, , 
2019/6/15, 29, 15, , 22, , 
2019/6/16, 37, 18, , 27, , 
2019/6/17, 47, 18, , 19, , 
2019/6/18, 45, 14, , 10, , 
2019/6/19, 29, 13, , 16, , 
2019/6/20, 31, 15, , 15, , 
2019/6/21, 35, 13, , 18, , 
2019/6/22, 33, 22, , 23, , 
2019/6/23, 53, 20, , 20, , 
2019/6/24, 49, 18, , 21, , 
2019/6/25, 42, 27, , 22, , 
2019/6/26, 59, 38, , 21, , 
2019/6/27, 68, 39, , 27, , 
2019/6/28, 65, 25, , 26, , 
2019/6/29, 57, 30, , 23, , 
2019/6/30, 63, , , 17, , 
2019/1/1, 88, 44, 4, 44, , 
2019/1/2, 93, 33, 8, 39, , 
2019/1/3, 70, 43, 3, 46, , 
2019/1/4, 88, 37, 3, 42, , 
2019/1/5, 86, 35, 5, 42, , 
2019/1/6, 86, 29, 6, 43, , 
2019/1/7, 71, 33, 6, 43, , 
2019/1/8, 71, 32, 8, 41, , 
2019/1/9, 65, 16, 14, 31, , 
2019/1/10, 35, 29, 7, 48, , 
2019/1/11, 58, 29, 12, 37, , 
2019/1/12, 65, 32, 7, 41, , 
2019/1/13, 76, 55, 2, 63, , 
2019/1/14, 117, 59, 7, 55, , 
2019/1/15, 118, 45, 11, 38, , 
2019/1/16, 87, 49, 2, 41, , 
2019/1/17, 116, 45, 10, 37, , 
2019/1/18, 100, 30, 9, 31, , 
2019/1/19, 75, 22, 21, 26, , 
2019/1/20, 64, 18, 16, 38, , 
2019/1/21, 52, 23, 17, 35, , 
2019/1/22, 53, 10, 28, 10, , 
2019/1/23, 28, 16, 29, 29, , 
2019/1/24, 34, 20, 14, 41, , 
2019/1/25, 49, 24, 13, 41, , 
2019/1/26, 55, 13, 30, 18, , 
2019/1/27, 35, 7, 30, 12, , 
2019/1/28, 13, 10, 27, 15, , 
2019/1/29, 24, 9, 30, 13, , 
2019/1/30, 22, , , 11, , 
2019/2/1, 16, 6, 32, 12, , 
2019/2/2, 16, 11, 24, 25, , 
2019/2/3, 28, 28, 8, 49, , 
2019/2/4, 62, 39, 10, 47, , 
2019/2/5, 79, 40, 11, 46, , 
2019/2/6, 80, 44, 7, 48, , 
