date;date;pm10;pm25;o3;no2;so2
2018-11-14;2018-11-14;25.0;58.0;18.5;22.0;3.0
2018-11-15;2018-11-15;24.0;53.0;12.0;22.0;3.5
2018-11-16;2018-11-16;20.0;54.0;16.0;15.0;3.0
2018-11-17;2018-11-17;17.0;48.0;21.5;13.0;3.0
2018-11-18;2018-11-18;13.0;44.0;22.5;17.0;3.0
2018-11-19;2018-11-19;11.0;30.0;23.5;17.0;3.0
2018-11-20;2018-11-20;13.0;31.0;26.0;20.0;3.0
2018-11-21;2018-11-21;18.0;33.0;18.0;25.0;3.5
2018-11-22;2018-11-22;15.0;43.0;21.5;22.0;4.0
2018-11-23;2018-11-23;21.0;38.0;11.0;26.0;5.0
2018-11-24;2018-11-24;18.0;54.0;21.5;15.0;3.0
2018-11-25;2018-11-25;11.0;50.0;28.0;15.0;3.5
2018-11-26;2018-11-26;19.0;24.0;19.5;29.0;4.0
2018-11-27;2018-11-27;37.0;41.0;6.5;37.0;6.0
2018-11-28;2018-11-28;41.0;79.0;5.0;33.0;5.0
2018-11-29;2018-11-29;30.0;84.0;59.0;28.0;4.0
2018-11-30;2018-11-30;24.0;66.0;140.0;30.0;4.0
2018-12-01;2018-12-01;29.0;57.0;47.0;25.0;4.0
2018-12-02;2018-12-02;38.0;72.0;4.0;26.0;5.0
2018-12-03;2018-12-03;41.0;89.0;5.0;35.0;7.0
2018-12-04;2018-12-04;43.0;87.0;6.0;39.0;6.5
2018-12-05;2018-12-05;44.0;89.0;4.0;31.0;5.0
2018-12-06;2018-12-06;31.0;95.0;8.0;25.0;4.0
2018-12-07;2018-12-07;25.0;75.0;13.5;26.0;3.5
2018-12-08;2018-12-08;37.0;65.0;7.0;35.0;5.0
2018-12-09;2018-12-09;44.5;93.0;4.0;46.5;7.5
2018-12-10;2018-12-10;41.5;92.5;3.0;34.5;5.0
2018-12-11;2018-12-11;36.0;77.5;9.0;27.0;4.5
2018-12-12;2018-12-12;23.0;81.0;27.0;16.5;3.5
2018-12-13;2018-12-13;11.0;62.5;23.0;20.0;4.0
2018-12-14;2018-12-14;20.0;30.0;14.0;26.5;4.0
2018-12-15;2018-12-15;14.0;50.0;19.0;14.0;3.0
2018-12-16;2018-12-16;20.5;38.0;21.0;29.0;4.0
2018-12-17;2018-12-17;27.0;41.0;8.5;31.5;6.0
2018-12-18;2018-12-18;25.0;57.5;12.0;24.5;4.0
2018-12-19;2018-12-19;17.5;61.5;11.0;22.5;4.5
2018-12-20;2018-12-20;19.0;48.5;10.0;22.5;4.0
2018-12-21;2018-12-21;26.0;54.5;7.0;21.5;3.5
2018-12-22;2018-12-22;25.5;71.0;8.0;18.5;4.0
2018-12-23;2018-12-23;30.5;70.5;4.0;29.5;7.0
2018-12-24;2018-12-24;22.0;78.0;6.0;25.0;5.0
2018-12-25;2018-12-25;24.5;63.5;7.0;32.0;5.0
2018-12-26;2018-12-26;38.5;61.0;2.0;34.0;6.0
2018-12-27;2018-12-27;39.5;82.5;7.0;27.5;5.0
2018-12-28;2018-12-28;23.5;86.0;14.0;19.5;4.0
2018-12-29;2018-12-29;18.0;50.0;15.0;23.5;5.0
