fecha,pm10,no2,intensidad,PCA1,PCA2,PCA3,PCA4
2018-10-31,19.0,22.0,332.5,8.739002459259043,15.81568436040637,-4.918601410779822,-3.8052647443532677
2018-11-01,14.0,15.0,157.75,4.985440775304676,2.2422215529056464,-4.920025768510802,-3.4960419385663797
2018-11-02,16.0,27.0,242.0,8.605093550072734,-6.916405109316332,-0.6681762523363686,-0.33091866766987205
2018-11-03,22.0,22.0,180.0,-6.6474240132781075,-5.091107337971464,-6.267215037248749,-1.6313909288590192
2018-11-04,14.0,18.0,150.0,6.867534745899379,8.372986300092283,-5.477776846947712,10.210238533858151
2018-11-05,12.0,16.0,304.0,12.830691774326256,15.581607293976026,-5.31427663763394,-1.761122668979202
2018-11-06,14.0,23.0,309.0,9.117932591254839,7.31052305537328,-5.012523905220233,-2.6794520168278857
2018-11-07,19.0,27.0,312.25,4.943195057679984,2.713031130404768,-5.292241578097417,3.043743447063287
2018-11-08,13.0,11.0,323.0,5.467679585045717,3.2211108296829156,-7.553498719121302,2.561043560931256
2018-11-09,10.0,12.0,168.5,9.32932906236651,-1.7806530097933349,-4.645627105689222,-2.4455575135900465
2018-11-10,12.0,14.0,143.75,5.239290099448749,3.8420795607828557,-4.850085652410114,0.8270391465432757
2018-11-11,17.0,28.0,138.0,5.574567871356288,3.3506915872506187,-1.4047498749067255,-0.3864641251220849
2018-11-12,22.0,25.0,303.0,3.7384154070231848,1.0727124804608452,-6.148405021170526,3.045124657967309
2018-11-13,33.0,23.0,305.5,-9.236499473778139,-6.489932036356456,-5.019576359742512,-0.17647033106891508
2018-11-14,25.0,22.0,325.5,-12.686511676957663,-4.204144227102727,-6.398976955660255,0.5961637798199122
2018-11-15,24.0,22.0,300.0,-7.115426268508281,-0.14161468506169284,-4.216579914092287,1.277481917645959
2018-11-16,20.0,15.0,318.75,-7.992893599657946,-0.11163454161657098,-5.360335174886936,2.4015582664045545
2018-11-17,17.0,13.0,207.0,-6.289973620401328,4.393696654744197,-3.336557216987511,-1.158284482679419
2018-11-18,13.0,17.0,159.0,-4.361743320195959,17.131681696827876,-7.863190759256091,8.419453494759612
2018-11-19,11.0,17.0,298.0,-9.632983978193266,21.687000209533323,-6.0734289151341105,-2.2201851860227695
2018-11-20,13.0,20.0,303.0,9.210293772809331,19.475204755035882,-4.200628214508334,0.619514326855646
2018-11-21,18.0,25.0,309.0,6.270737096784218,8.403576477623966,-5.120710034574702,-3.0642374954636153
2018-11-22,15.0,22.0,311.75,2.540077558380999,3.2408783782731985,-8.908844742017056,2.334209204778089
2018-11-23,21.0,26.0,322.25,6.132285396088254,2.161360933820215,-5.6814773207520926,-3.1192379428993156
2018-11-24,18.0,15.0,208.0,6.584132465603665,1.0533260605942512,-10.581613486315904,0.46170512440219535
2018-11-25,11.0,15.0,162.0,9.638937482516024,10.907337550542538,-4.753158798038241,2.014666598830814
2018-11-26,19.0,29.0,300.0,12.40301498974741,3.8713692454432347,-3.329590421011115,-3.479709908568524
2018-11-27,37.0,37.0,307.0,3.159875441302814,-8.774166619191986,-7.635187627384301,-0.8416604680598804
2018-11-28,41.0,33.0,307.0,0.273461007577702,-9.62828800869503,-10.082533841675899,-0.3117719291745968
2018-11-29,30.0,28.0,318.0,8.132457005081115,-5.314654860129732,-9.12699858950148,2.003160233838436
2018-11-30,24.0,30.0,326.5,7.605173621501943,-7.1737257143788105,-7.616665577943278,-0.6432998778150131
2018-12-01,29.0,25.0,215.5,4.560151380924384,-8.953039928003214,-10.309028626279222,0.5926978415219188
2018-12-02,38.0,26.0,157.0,3.3731310373490704,-10.372699795305294,-11.276403367411929,1.4902744393109877
2018-12-03,41.0,35.0,304.5,12.904455835936607,-12.745989364589862,-9.492034293950168,2.6105786023789217
2018-12-04,43.0,39.0,312.75,13.898375609512472,-14.233741321744098,-4.503865094701052,0.36835654259821027
2018-12-05,44.0,31.0,321.5,-3.0200254437231964,-12.055906442379596,-5.751647692648213,0.3713877683079403
2018-12-06,31.0,25.0,152.5,-5.402206366719456,-15.011372862007516,-7.423190407925971,0.861611005197512
2018-12-07,25.0,26.0,240.0,8.355353197205433,-14.032588606295526,-7.582519241879255,-0.21026895449805322
2018-12-08,37.0,35.0,153.5,9.648934779957045,-16.16029991595644,-5.859744195384196,1.5086608324848885
2018-12-09,44.5,46.5,145.0,2.0750801413983355,-18.93614699251686,-7.4906811863194775,1.493851721300009
2018-12-10,41.5,34.5,305.25,7.613980820645494,-16.925503185792703,-7.215145886586031,1.4038687430898387
2018-12-11,36.0,27.0,309.0,4.108929312011433,-9.578485975694697,-8.288146181186224,0.2504635605525424
2018-12-12,23.0,16.5,305.25,5.1299064830027445,-2.1119089006190155,-12.263232804012608,3.832325609606682
2018-12-13,11.0,20.0,320.0,14.763300519943273,7.657814639629555,-8.112150880216722,1.956993925159882
2018-12-14,20.0,26.5,335.25,11.112485297023943,-5.127728321174938,-6.950589787298226,-2.3370975613306344
2018-12-15,14.0,14.0,265.0,4.614521656525862,-10.359054769980986,-12.16913816425642,1.098588826181378
2018-12-16,20.5,29.0,214.5,4.873539955450136,-6.043200587364553,-8.163049145303347,0.7968938673816419
2018-12-17,27.0,31.5,338.0,10.173718585959554,-16.6945820125104,-9.554682185383728,0.4166691398601554
2018-12-18,25.0,24.5,318.0,-12.517590792416021,-6.201886520542251,-16.236427253845193,1.4933074055496744
2018-12-19,17.5,22.5,327.5,4.626732943033397,-7.66543171136303,-8.83841007507655,-0.5349580500342105
2018-12-20,19.0,22.5,334.0,3.7879801779773845,-12.40931881435411,-9.876626250531963,2.136681436284823
2018-12-21,26.0,21.5,332.75,7.823760444257665,-19.470370366288364,-11.933913386714984,4.429707319979208
2018-12-22,25.5,18.5,199.5,-14.817802739058477,-16.713690676132416,-15.385189834995192,4.151831385093334
2018-12-23,30.5,29.5,160.0,-8.925234148953702,-16.56915382996075,-13.062069561635552,2.146974451767376
2018-12-24,22.0,25.0,187.25,-15.032769241475537,-15.846606152483233,-12.598787415363349,1.6576762103925404
2018-12-25,24.5,32.0,131.5,4.862065168639361,-15.222469098934182,-7.299145472739649,1.2866045390956329
2018-12-26,38.5,34.0,257.0,-9.809477571199299,-13.54590961461088,-10.141702349435866,0.07653371345420742
2018-12-27,39.5,27.5,262.0,4.45741371033896,-14.250552622698125,-9.705350362372824,-0.3321489278003552
2018-12-28,23.5,19.5,261.0,-10.190163748280485,-11.40207221090291,-11.152104462454185,-0.7488706987967706
2018-12-29,18.0,23.5,174.5,-16.327697315980526,-11.44503073043313,-11.565365986125624,-0.5569065962360539
2018-12-30,11.0,17.0,148.5,-15.612711395003457,-12.55500388598552,-11.032357184486823,-0.27322379273112696
2018-12-31,30.0,32.0,176.5,2.4812895345958763,-18.8681647997152,-9.629826164709225,0.6709172426030087
2019-01-01,35.0,39.0,123.5,-11.973031325670888,-16.00208197822766,-12.439627203922601,0.09537370340764798
2019-01-02,23.0,30.0,244.0,-13.02026198626268,-11.40835097087335,-12.638780264576901,-1.1184669200281971
2019-01-03,32.5,37.5,261.5,-12.157369531425203,-11.490596365488072,-11.948396159290743,-0.30495321971196904
2019-01-04,34.5,37.0,273.0,6.823911659286214,-17.988905025535775,-9.781954784648182,0.15864575800658137
2019-01-05,34.0,42.0,186.0,4.36440754816225,-20.979207078405334,-11.073248578799046,0.7311944884188027
2019-01-06,22.5,39.5,145.0,7.6073698426139496,-18.590700654534405,-9.035204931338813,0.42740949417841334
2019-01-07,27.5,36.5,146.0,-10.470245752853305,-12.770231605855807,-11.235287993104105,-0.601793265837258
2019-01-08,22.0,31.5,297.0,10.873493919556353,-16.772510837721455,-7.7531702614851215,0.11481798582275572
2019-01-09,11.0,20.0,296.0,-15.78357696219405,-3.17975967447265,-10.819581265185635,-2.506319225582315
2019-01-10,22.0,35.0,302.0,-11.913949447461578,-1.0466659515141485,-12.680848666294972,-3.7472228246260904
2019-01-11,24.5,31.0,309.25,4.593570980865152,-11.161204778689543,-12.58912470244055,-2.2065300585684207
2019-01-12,27.0,30.5,198.0,-9.061492813165644,-13.052051047605566,-13.690508869615677,-1.1302572928399637
2019-01-13,51.5,54.5,150.0,6.788980196215157,-13.566547860025974,-10.313458321538933,-0.9027039091485997
2019-01-14,49.5,40.0,273.0,4.246681251376794,-9.235659530474186,-8.449602858306061,-1.5364824141366407
2019-01-15,39.5,29.5,298.0,30.857320426656845,-10.996082570913408,-2.8354527417402076,-1.1777969553984429
2019-01-16,42.5,28.0,279.0,6.783492725722421,-2.3821631061069035,-8.915550782936508,-3.1555939414979473
2019-01-17,35.5,28.0,294.5,-9.309268828133765,0.6827761005071223,-14.687406815215823,-0.25992262134768257
2019-01-18,26.5,25.5,309.0,9.23147357602639,-2.8633608528731065,-12.153437638365391,-0.8846405589811362
2019-01-19,17.5,16.0,195.0,8.271377771528376,6.206437814430665,-15.024654876273802,2.9553998497863976
