date, pm10, o3, no2, so2, co
2020/5/30, 16, 41, 3, , 
2020/5/31, 12, 41, 6, , 
2020/6/1, 15, 40, 9, , 
2020/6/2, 17, 38, 6, , 
2020/6/3, 20, 38, 7, , 
2020/6/4, 19, 37, 7, , 
2020/6/5, 19, 36, 6, , 
2020/6/6, 21, 28, 3, , 
2020/6/7, 18, 30, 5, , 
2020/6/8, 12, 29, 8, , 
2020/6/9, 13, 39, 7, , 
2020/6/10, 12, 35, 7, , 
2020/6/11, 19, 34, 7, , 
2020/6/12, 27, 39, 7, , 
2020/6/13, 21, 40, 5, , 
2020/6/14, 18, 37, 9, 1, 
2020/6/15, 21, 22, 12, , 
2020/6/16, 18, 38, 7, , 
2020/6/17, 14, 30, 7, , 
2020/6/18, 12, 36, 10, , 
2020/6/19, 14, 30, 6, , 
2020/6/20, 20, 32, 8, , 
2020/6/21, 22, 29, 13, , 
2020/6/22, 25, 27, 8, , 
2020/6/23, 49, 31, 4, , 
2020/6/24, 80, 27, 10, , 
2020/6/25, 25, 36, 18, , 
2020/6/26, 28, 26, 7, , 
2020/6/27, 25, 30, 5, , 
2020/6/28, 33, 19, 8, , 
2020/6/29, 31, 19, 7, , 
2020/6/30, 22, 26, 12, , 
2020/1/1, 15, 18, 19, , 
2020/1/2, 18, 21, 17, , 
2020/1/3, 21, 2, 16, , 
2020/1/4, 19, 15, 13, , 
2020/1/5, 11, 20, 21, , 
2020/1/6, 17, 12, 24, , 
2020/1/7, 25, 14, 27, , 
2020/1/8, 28, 28, 23, , 
2020/1/9, 22, 23, 22, , 
2020/1/10, 14, 24, 14, , 
2020/1/11, 11, 18, 18, , 
2020/1/12, 15, 26, 18, , 
2020/1/13, 15, 22, 24, , 
2020/1/14, 20, 20, 30, , 
2020/1/15, 28, 26, 29, , 
2020/1/16, 30, 29, 24, , 
2020/1/17, 24, 25, 14, , 
2020/1/18, 15, 31, 9, , 
2020/1/19, 12, 31, 5, , 
2020/1/20, 11, 37, 6, , 
2020/1/21, 21, 33, 11, , 
2020/1/22, 45, 28, 21, , 
2020/1/23, 47, 10, 29, 1, 
2020/1/24, 67, 21, 22, , 
2020/1/25, 66, 23, 17, , 
2020/1/26, 49, 24, 17, , 
2020/1/27, 22, 24, 23, , 
2020/1/28, 18, 11, 30, , 
2020/1/29, 26, 19, 22, , 
2020/1/30, 26, 20, 23, , 
2020/1/31, 29, , 23, , 
2020/2/1, 31, 24, 16, , 
2020/2/2, 25, 22, 22, , 
2020/2/3, 32, 25, 12, , 
2020/2/4, 43, 32, 18, , 
2020/2/5, 29, 38, 23, , 
2020/2/6, 29, 37, 28, , 
2020/2/7, 30, 35, 25, , 
2020/2/8, 27, 31, 16, , 
2020/2/9, 28, , 20, , 
2020/2/10, 28, , 17, , 
2020/2/11, 25, , 10, , 
2020/2/12, 20, , 16, , 
2020/2/13, 26, , 20, , 
2020/2/14, 31, , 15, , 
2020/2/15, 30, , 10, , 
2020/2/16, 22, , 17, , 
2020/2/17, 27, , 15, , 
2020/2/18, 21, , 18, , 
2020/2/19, 19, , 22, , 
2020/2/20, 29, , 22, , 
2020/2/21, 35, , 21, , 
2020/2/22, 34, , 20, , 
2020/2/23, 34, 24, 27, , 
2020/2/24, 35, 28, 21, , 
2020/2/25, 38, 33, 9, , 
2020/2/26, 34, 30, 8, , 
2020/2/27, 30, 26, 13, , 
2020/2/28, 27, 29, 14, , 
2020/2/29, 58, 33, 10, , 
2020/3/1, 55, 35, 6, , 
2020/3/2, 27, 32, 8, , 
2020/3/3, 17, 28, 20, , 
2020/3/4, 24, 34, 17, , 
2020/3/5, 26, 34, 5, , 
2020/3/6, 19, 33, 6, , 
2020/3/7, 16, 34, 13, , 
2020/3/8, 17, 31, 13, , 
2020/3/9, 20, 28, 12, , 
2020/3/10, 24, 22, 20, , 
2020/3/11, 30, 39, 23, , 
2020/3/12, 34, 31, 18, , 
2020/3/13, 27, 32, 13, , 
2020/3/14, 22, 38, 8, , 
2020/3/15, 18, 36, 4, , 
2020/3/16, 20, 34, 7, , 
2020/3/17, 27, 35, 17, , 
2020/3/18, 25, 41, 11, , 
2020/3/19, 22, 39, 8, , 
2020/3/20, 16, 40, 6, , 
2020/3/21, 19, 36, 2, , 
2020/3/22, 25, 34, 4, , 
2020/3/23, 23, 37, 2, , 
2020/3/24, 24, 33, 5, , 
2020/3/25, 19, 34, 6, , 
2020/3/26, 13, 37, 6, , 
2020/3/27, 13, 38, 6, , 
2020/3/28, 14, 21, 11, , 
2020/3/29, 15, , , , 
2019/10/1, 19, 29, 14, 1, 
2019/10/2, 22, 28, 12, , 
2019/10/3, 16, 33, 21, 1, 
2019/10/4, 19, 29, 13, , 
2019/10/5, 19, 25, 12, , 
2019/10/6, 21, 28, 15, , 
2019/10/7, 19, 30, 20, , 
2019/10/8, 30, 22, 18, , 
2019/10/9, 26, 20, 13, , 
2019/10/10, 17, 20, 19, , 
2019/10/11, 25, 31, 17, , 
2019/10/12, 26, 33, 8, , 
2019/10/13, 19, 32, 14, , 
2019/10/14, 25, 29, 10, , 
2019/10/15, 20, 31, 19, , 
2019/10/16, 14, 36, 22, 1, 
2019/10/17, 23, 31, 21, , 
2019/10/18, 24, 32, 20, , 
2019/10/19, 26, 30, 10, , 
2019/10/20, 24, 22, 16, , 
2019/10/21, 14, 25, 10, , 
2019/10/22, 13, 27, 16, , 
2019/10/23, 16, 22, 16, , 
2019/10/24, 15, 22, 17, , 
2019/10/25, 13, 29, 25, , 
2019/10/26, 19, 33, 20, , 
2019/10/27, 21, 25, 25, , 
2019/10/28, 23, 23, 18, , 
2019/10/29, 22, 27, 24, , 
2019/10/30, 27, 23, 21, , 
2019/10/31, 22, 20, 18, 1, 
2019/11/1, 20, 21, 16, , 
2019/11/2, 17, 30, 7, , 
2019/11/3, 13, 26, 14, , 
2019/11/4, 14, 28, 8, , 
2019/11/5, 14, 23, 8, , 
2019/11/6, 10, 23, 15, , 
2019/11/7, 14, 27, 9, 1, 
2019/11/8, 15, 25, 10, , 
2019/11/9, 12, 22, 9, , 
2019/11/10, 10, 21, 9, , 
2019/11/11, 8, 23, 11, , 
2019/11/12, 13, 23, 19, , 
2019/11/13, 16, 18, 23, 1, 
2019/11/14, 17, 18, 19, 1, 
2019/11/15, 15, 16, 12, 1, 
2019/11/16, 13, 8, 11, 1, 
2019/11/17, 9, 17, 13, , 
2019/11/18, 13, 20, 16, , 
2019/11/19, 13, 15, 27, 1, 
2019/11/20, 18, 22, 25, , 
2019/11/21, 20, 21, 20, , 
2019/11/22, 19, 30, 8, , 
2019/11/23, 13, 28, 9, , 
2019/11/24, 12, 24, 20, , 
2019/11/25, 25, 15, 24, , 
2019/11/26, 24, 26, 23, , 
2019/11/27, 23, 24, 20, , 
2019/11/28, 20, 24, 18, , 
2019/11/29, 18, 22, 20, , 
2019/11/30, 19, 29, 17, , 
2019/12/1, 20, 16, 23, , 
2019/12/2, 18, 20, 15, , 
2019/12/3, 17, 26, 10, , 
2019/12/4, 13, 24, 15, , 
2019/12/5, 9, 26, 18, , 
2019/12/6, 15, 19, 16, , 
2019/12/7, 21, 16, 12, , 
2019/12/8, 18, 25, 9, , 
2019/12/9, 14, 21, 20, 1, 
2019/12/10, 18, , 19, , 
2019/12/11, 18, , 10, , 
2019/12/12, 12, , 8, , 
2019/12/13, 11, , 8, , 
2019/12/14, 11, , 17, , 
2019/12/15, 16, , 24, , 
2019/12/16, 28, 9, 22, 1, 
2019/12/17, 61, 15, 22, 1, 
2019/12/18, 78, 14, 22, 1, 
2019/12/19, 52, 21, 20, 1, 
2019/12/20, 32, 26, 18, 1, 
