date, pm10, o3, no2, so2, co
2020/2/6, 25, 12, 36, 1, 
2020/2/7, 26, 16, 28, , 
2020/2/8, 25, 26, 20, , 
2020/2/9, 25, 15, 22, , 
2020/2/10, 22, 17, 24, , 
2020/2/11, 24, 16, 18, , 
2020/2/12, 23, 17, 21, , 
2020/2/13, 21, 14, 27, 1, 
2020/2/14, 31, 23, 17, , 
2020/2/15, 30, 26, 10, , 
2020/2/16, 19, 19, 23, , 
2020/2/17, 23, 21, 20, , 
2020/2/18, 22, 14, 25, , 
2020/2/19, 17, 20, 22, , 
2020/2/20, 21, 23, 29, 1, 
2020/2/21, 29, 27, 24, 1, 
2020/2/22, 29, 28, 24, , 
2020/2/23, 31, 21, 30, 1, 
2020/2/24, 34, 21, 27, , 
2020/2/25, 35, 26, 16, , 
2020/2/26, 29, 22, 12, , 
2020/2/27, 24, 19, 21, , 
2020/2/28, 27, 24, 18, , 
2020/2/29, 41, 27, 13, , 
2020/3/1, 56, 49, 12, 12, 
2020/3/2, 26, 22, 15, , 
2020/3/3, 14, 21, 26, , 
2020/3/4, 19, 25, 20, , 
2020/3/5, 27, 23, 13, , 
2020/3/6, 22, 27, 12, , 
2020/3/7, 14, 26, 16, , 
2020/3/8, 16, 22, 19, 1, 
2020/3/9, 19, 22, 17, , 
2020/3/10, 22, 21, 28, , 
2020/3/11, 29, 31, 30, , 
2020/3/12, 36, 21, 25, , 
2020/3/13, 27, 26, 18, , 
2020/3/14, 24, 32, 10, , 
2020/3/15, 19, 32, 7, , 
2020/3/16, 18, 31, 10, , 
2020/3/17, 23, 29, 17, , 
2020/3/18, 25, 39, 13, , 
2020/3/19, 21, 36, 8, 1, 
2020/3/20, 17, 38, 6, 1, 
2020/3/21, 15, 35, 4, 1, 
2020/3/22, 23, 31, 7, , 
2020/3/23, 20, 34, 4, , 
2020/3/24, 23, 31, 8, , 
2020/3/25, 19, 32, 8, 1, 
2020/3/26, 12, 31, 11, 1, 
2020/3/27, 12, 34, 9, 1, 
2020/3/28, 13, 12, 17, 1, 
2020/3/29, 14, , , , 
2019/10/1, 26, 21, 23, 1, 
2019/10/2, 29, 16, 23, , 
2019/10/3, 23, 20, 30, , 
2019/10/4, 27, 16, 21, , 
2019/10/5, 28, 15, 19, , 
2019/10/6, 26, 17, 23, , 
2019/10/7, 23, 21, 25, , 
2019/10/8, 33, 14, 25, , 
2019/10/9, 29, 13, 21, , 
2019/10/10, 21, 15, 26, , 
2019/10/11, 27, 17, 26, , 
2019/10/12, 27, 27, 13, , 
2019/10/13, 22, 23, 22, , 
2019/10/14, 28, 23, 15, , 
2019/10/15, 25, 22, 23, , 
2019/10/16, 17, 19, 33, 1, 
2019/10/17, 26, 23, 25, , 
2019/10/18, 27, 20, 28, 1, 
2019/10/19, 30, 22, 16, , 
2019/10/20, 26, 16, 23, , 
2019/10/21, 18, 18, 20, , 
2019/10/22, 17, 18, 26, , 
2019/10/23, 20, 14, 23, 1, 
2019/10/24, 21, 15, 27, 1, 
2019/10/25, 18, 19, 29, 1, 
2019/10/26, 24, 20, 27, , 
2019/10/27, 24, 11, 31, , 
2019/10/28, 25, 9, 29, 1, 
2019/10/29, 27, 8, 37, 2, 
2019/10/30, 38, 10, 30, 2, 
2019/10/31, 30, 14, 22, 1, 
2019/11/1, 24, 11, 19, 1, 
2019/11/2, 19, 23, 10, 1, 
2019/11/3, 15, 21, 21, 1, 
2019/11/4, 17, 21, 12, 1, 
2019/11/5, 17, 19, 15, 1, 
2019/11/6, 13, 12, 21, 1, 
2019/11/7, 14, 19, 15, 1, 
2019/11/8, 13, 17, 15, , 
2019/11/9, 12, 16, 13, 1, 
2019/11/10, 9, 13, 17, 1, 
2019/11/11, 10, 14, 18, 1, 
2019/11/12, 15, 13, 25, 1, 
2019/11/13, 17, 8, 32, 1, 
2019/11/14, 20, 11, 23, 1, 
2019/11/15, 17, 13, 17, 1, 
2019/11/16, 13, 18, 14, 1, 
2019/11/17, 10, 11, 22, 1, 
2019/11/18, 14, 13, 24, 1, 
2019/11/19, 16, 8, 34, 2, 
2019/11/21, 16, 8, 33, 1, 
2019/11/22, 20, 21, 15, , 
2019/11/23, 17, 21, 16, , 
2019/11/24, 9, 17, 26, 2, 
2019/11/25, 16, 9, 30, 2, 
2019/11/26, 28, 17, 27, 1, 
2019/11/27, 22, 15, 26, , 
2019/11/28, 19, 17, 24, , 
2019/11/29, 16, 12, 26, , 
2019/11/30, 18, 20, 23, 1, 
2019/12/1, 17, 7, 28, 1, 
2019/12/2, 16, , 22, , 
2019/12/3, 22, , 18, 3, 
2019/12/4, 18, , 26, , 
2019/12/5, 9, , 23, , 
2019/12/6, 14, , 21, , 
2019/12/7, 15, , 16, , 
2019/12/8, 17, 15, 17, , 
2019/12/9, 12, 14, 28, , 
2019/12/10, 17, 11, 25, , 
2019/12/11, 21, 18, 16, , 
2019/12/12, 16, 19, 16, , 
2019/12/13, 11, 23, 14, , 
2019/12/14, 13, 19, 18, , 
2019/12/15, 10, 7, 36, 1, 
2019/12/16, 21, 7, 32, 1, 
2019/12/17, 43, 9, 30, , 
2019/12/18, 88, 6, 29, 1, 
2019/12/19, 61, 14, 27, , 
2019/12/20, 36, 18, 24, 1, 
2019/12/21, 19, 29, 9, 1, 
2019/12/22, 15, 26, 20, 1, 
2019/12/23, 12, 12, 22, 1, 
2019/12/24, 18, 7, 30, 1, 
2019/12/25, 21, 13, 21, 1, 
2019/12/26, 25, 15, 18, 1, 
2019/12/27, 14, 10, 26, 3, 
2019/12/28, 21, 10, 20, , 
2019/12/29, 21, , , , 
2019/7/1, 36, 26, 24, , 
2019/7/2, 34, 19, 30, 1, 
2019/7/3, 38, 30, 40, 3, 
2019/7/4, 36, 30, 31, 1, 
2019/7/5, 33, 24, 36, 3, 
2019/7/6, 43, 23, 17, , 
2019/7/7, 53, 25, 21, 1, 
2019/7/9, 31, 32, 22, 1, 
2019/7/10, 27, 29, 31, 2, 
2019/7/11, 32, 24, 25, 2, 
2019/7/12, 32, 29, 30, 2, 
2019/7/13, 26, 29, 18, , 
2019/7/14, 22, 26, 22, 1, 
2019/7/15, 21, 29, 22, 1, 
2019/7/16, 24, 26, 21, 1, 
2019/7/17, 21, 28, 26, 1, 
2019/7/18, 21, 22, 27, 1, 
2019/7/19, 24, 27, 21, 1, 
2019/7/20, 21, 26, 18, 2, 
2019/7/21, 21, 17, 35, 2, 
2019/7/22, 27, 20, 36, 2, 
2019/7/23, 33, 22, 27, 1, 
2019/7/24, 29, 13, 30, 1, 
2019/7/25, 27, 22, 35, 2, 
2019/7/26, 29, 28, 18, , 
2019/7/27, 25, 26, 12, 1, 
2019/7/28, 14, 21, 22, 1, 
2019/7/29, 18, 21, 22, 1, 
2019/7/30, 26, 23, 20, 1, 
2019/7/31, 27, 19, 21, , 
2019/8/1, 26, 36, 25, 1, 
2019/8/2, 26, 38, 18, 1, 
2019/8/3, 22, 36, 14, 1, 
2019/8/4, 21, 30, 30, 2, 
2019/8/5, 24, 29, 19, 1, 
2019/8/6, 26, 27, 18, , 
2019/8/7, 31, 21, 18, , 
2019/8/8, 33, 22, 20, , 
2019/8/9, 41, 26, 15, , 
2019/8/10, 35, 29, 13, 1, 
2019/8/11, 25, 29, 14, , 
2019/8/12, 20, 27, 13, , 
2019/8/13, 17, 27, 15, , 
2019/8/14, 20, 25, 16, , 
2019/8/15, 23, 23, 15, , 
2019/8/16, 20, 24, 12, , 
2019/8/17, 19, 24, 14, , 
