date, pm10, o3, no2, so2, co
2020/5/18, 13, 51, 3, , 
2020/5/19, 15, 56, 7, , 
2020/5/20, 16, 49, 3, , 
2020/5/21, 14, 50, 3, , 
2020/5/22, 14, 46, 1, , 
2020/5/23, 12, 33, 1, , 
2020/5/24, 12, 38, 3, , 
2020/5/25, 15, 48, 3, , 
2020/5/26, 15, 49, 2, , 
2020/5/27, 14, 47, 2, , 
2020/5/28, 12, 44, 2, , 
2020/5/29, 12, 39, 2, , 
2020/5/30, 12, 42, 1, , 
2020/5/31, 10, 39, 1, , 
2020/6/1, 10, 42, 4, , 
2020/6/3, 10, 38, 2, , 
2020/6/4, 9, 39, 2, , 
2020/6/5, 9, 38, 2, , 
2020/6/6, 11, 31, 1, , 
2020/6/7, 12, 30, 2, , 
2020/6/8, 7, 39, 2, , 
2020/6/9, 8, 40, 2, , 
2020/6/10, 9, 37, 4, , 
2020/6/11, 10, 39, 1, , 
2020/6/12, 13, 41, 1, , 
2020/6/13, 11, 41, 1, , 
2020/6/14, 10, 39, 2, , 
2020/6/15, 12, 33, 3, , 
2020/6/16, 11, 39, 3, , 
2020/6/17, 8, 31, 2, , 
2020/6/18, 9, 37, 4, , 
2020/6/19, 9, 34, 1, , 
2020/6/20, 11, 37, 2, , 
2020/6/21, 14, 39, 5, , 
2020/6/22, 15, 34, 2, , 
2020/6/23, 14, 35, 2, , 
2020/6/24, 12, 43, 6, , 
2020/6/25, 12, 42, 6, , 
2020/6/26, 12, 34, 3, , 
2020/6/27, 16, 38, 2, , 
2020/6/28, 21, 30, 4, , 
2020/6/29, 20, 28, 4, , 
2020/6/30, 17, 34, 6, , 
2020/1/1, 12, 25, 3, 1, 
2020/1/2, 12, 32, 3, 1, 
2020/1/3, 10, 29, 2, 1, 
2020/1/4, 10, 30, 5, , 
2020/1/5, 8, 29, 3, 1, 
2020/1/6, 11, 35, 3, , 
2020/1/7, 12, 27, 8, , 
2020/1/8, 11, 33, 4, 1, 
2020/1/9, 12, 30, 3, , 
2020/1/10, 9, 30, 2, , 
2020/1/11, 6, 34, 2, , 
2020/1/12, 7, 30, 4, 1, 
2020/1/13, 8, 34, 3, , 
2020/1/14, 7, 34, 5, , 
2020/1/15, 9, 36, 5, , 
2020/1/16, 13, 32, 3, , 
2020/1/17, 12, 32, 2, , 
2020/1/18, 9, 34, 2, , 
2020/1/19, 8, 33, , , 
2020/1/20, 10, 30, 1, , 
2020/1/21, 7, 29, 2, , 
2020/1/22, 10, 30, 4, , 
2020/1/23, 13, 34, 3, , 
2020/1/24, 69, 26, 5, , 
2020/1/25, 64, 33, 1, , 
2020/1/26, 40, 25, 3, , 
2020/1/27, 19, 26, 2, , 
2020/1/28, 10, 25, 8, , 
2020/1/29, 8, 24, 3, , 
2020/1/30, 10, 27, 2, , 
2020/1/31, 8, 28, 3, , 
2020/2/1, 8, 24, 1, , 
2020/2/2, 9, 23, 8, , 
2020/2/3, 13, 25, 3, , 
2020/2/4, 31, 32, 3, , 
2020/2/5, 18, 38, 5, , 
2020/2/6, 12, 37, 4, , 
2020/2/7, 12, 35, 4, , 
2020/2/8, 13, 34, 2, , 
2020/2/9, 18, 26, 3, , 
2020/2/10, 14, 27, 4, , 
2020/2/11, 10, 26, 4, , 
2020/2/12, 10, 28, 4, , 
2020/2/13, 10, 22, 7, , 
2020/2/14, 15, 33, 4, , 
2020/2/15, 21, 32, 3, , 
2020/2/18, 12, 26, 5, , 
2020/2/19, 10, 31, 4, , 
2020/2/20, 12, 35, 5, , 
2020/2/21, 16, 36, 5, , 
2020/2/22, 19, 37, 4, , 
2020/2/23, 19, 37, 5, , 
2020/2/24, 18, 34, 6, , 
2020/2/25, 22, 33, 3, , 
2020/2/26, 17, 31, 2, , 
2020/2/27, 15, 32, 3, , 
2020/2/28, 16, 31, 2, , 
2020/2/29, 29, 33, 2, , 
2020/3/1, 46, 34, 1, , 
2020/3/2, 14, 30, 2, 1, 
2020/3/3, 8, 31, 6, , 
2020/3/4, 10, 33, 3, , 
2020/3/5, 14, 34, 1, , 
2020/3/6, 9, 35, 2, , 
2020/3/7, 5, 37, 1, , 
2020/3/8, 9, 32, 3, , 
2020/3/9, 10, 29, 3, , 
2020/3/10, 13, 40, 7, , 
2020/3/11, 19, 45, 10, , 
2020/3/12, 21, 37, 9, , 
2020/3/13, 17, 32, 7, , 
2020/3/14, 18, 36, 3, , 
2020/3/15, 13, 35, 2, , 
2020/3/16, 10, 34, 2, , 
2020/3/17, 12, 38, 3, , 
2020/3/18, 14, 39, 5, , 
2020/3/19, 14, 43, 1, , 
2020/3/20, 13, 43, 1, , 
2020/3/21, 13, 36, , , 
2020/3/22, 18, 33, 1, , 
2020/3/23, 16, 36, 1, , 
2020/3/24, 18, 34, 1, , 
2020/3/25, 13, 37, 2, , 
2020/3/26, 9, 37, 1, , 
2020/3/27, 10, 37, 1, , 
2020/3/28, 10, 41, 2, , 
2020/3/29, 11, 29, 3, , 
2020/3/30, 13, 36, 2, , 
2020/3/31, 9, 35, 1, , 
2019/10/2, 18, 32, 3, 1, 
2019/10/3, 13, 40, 3, 1, 
2019/10/4, 12, 34, 4, , 
2019/10/5, 15, 28, 4, , 
2019/10/6, 18, 26, 4, , 
2019/10/7, 15, 36, 4, , 
2019/10/8, 21, 38, 4, , 
2019/10/9, 19, 33, 4, , 
2019/10/10, 13, 29, 5, , 
2019/10/11, 16, 30, 4, , 
2019/10/12, 14, 30, 7, , 
2019/10/13, 13, 33, 2, , 
2019/10/14, 15, 35, 4, , 
2019/10/15, 16, 32, 3, , 
2019/10/16, 6, 36, 3, , 
2019/10/17, 12, 39, 4, 1, 
2019/10/18, 15, 33, 3, 1, 
2019/10/19, 14, 37, 2, 1, 
2019/10/20, 16, 32, 2, , 
2019/10/21, 10, 27, 6, , 
2019/10/22, 9, 29, 2, , 
2019/10/23, 7, 32, 6, , 
2019/10/24, 6, 30, 2, 1, 
2019/10/25, 8, 27, 5, 5, 
2019/10/26, 10, 42, 5, 2, 
2019/10/27, 14, 39, 2, , 
2019/10/28, 14, 38, 3, , 
2019/10/29, 15, 30, 7, , 
2019/10/30, 17, 31, 6, , 
2019/10/31, 15, 33, 5, , 
2019/11/1, 12, 28, 3, , 
2019/11/2, 9, 28, 1, , 
2019/11/3, 8, 30, 1, , 
2019/11/4, 10, 30, 1, , 
2019/11/5, 8, 30, 1, , 
2019/11/6, 8, 24, 2, , 
2019/11/7, 9, 26, 3, , 
2019/11/8, 9, 26, 2, , 
2019/11/9, 8, 26, 1, , 
2019/11/11, 6, 25, 1, , 
2019/11/12, 8, 25, 2, , 
2019/11/13, 8, 26, 3, , 
2019/11/14, 6, 28, 3, , 
2019/11/15, 4, 27, 3, , 
2019/11/16, 7, 25, 2, , 
2019/11/17, 6, 24, 2, , 
2019/11/18, 8, 21, 4, , 
2019/11/19, 9, 31, 4, , 
2019/11/20, 8, 33, 2, , 
2019/11/21, 6, 34, 3, , 
2019/11/22, 6, 28, 5, , 
2019/11/23, 4, 31, 1, , 
2019/11/24, 5, 28, 1, , 
2019/11/25, 7, 24, 1, , 
2019/11/26, 8, 29, 3, , 
2019/11/27, 8, 28, 2, , 
2019/11/28, 9, 27, 2, , 
2019/11/29, 9, 32, 3, , 
2019/11/30, 9, 28, 2, , 
