date,pm10,no2,year,month,day,week,season,season_name,estado_trafico,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4
2018-10-18,17.0,18.0,2018,10,18,42,4,Autumn,2.090700344431688,3,0,-16.702834703841695,7.094385757602381,1.2916261251581322,0.3627495633928123
2018-10-19,22.0,17.0,2018,10,19,42,4,Autumn,2.205124835742444,4,0,-16.997253651278704,4.147979085554168,12.341352118564222,4.282915615889902
2018-10-20,23.0,21.0,2018,10,20,42,4,Autumn,1.8969049694856144,5,1,-12.040580189018286,-7.548239863354185,-0.1499643248354948,0.18228907403898645
2018-10-21,27.0,15.0,2018,10,21,42,4,Autumn,1.6666666666666667,6,1,-0.07374542805447094,-6.659942348773748,-0.802386028409204,2.088718710802597
2018-10-22,23.0,25.0,2018,10,22,43,4,Autumn,2.087860249133928,0,0,-12.984178780505484,-7.8967625503804655,-0.31998429224287145,-0.13341715406554144
2018-10-23,25.0,13.0,2018,10,23,43,4,Autumn,2.105110466413747,1,0,75.08048871306848,-10.9988455161321,3.2987338439773533,3.3239636931457133
2018-10-24,23.0,24.0,2018,10,24,43,4,Autumn,2.125072843822844,2,0,10.913780368370482,-6.789427466973066,-0.8032547686951454,3.8126009353280996
2018-10-25,26.0,31.0,2018,10,25,43,4,Autumn,2.0608006558272987,3,0,9.86267220203091,-2.675006751923803,-1.991389655607294,2.61378767484809
2018-10-26,33.0,18.0,2018,10,26,43,4,Autumn,2.148752694795196,4,0,-3.341559386634898,5.130199391528214,-1.0302539625031206,-0.8227265162971983
2018-10-27,23.0,11.0,2018,10,27,43,4,Autumn,1.8713504961886955,5,1,-15.347423183105475,21.96811606483467,13.44284128083659,-1.3490093708049584
2018-10-28,5.0,9.0,2018,10,28,43,4,Autumn,1.6072222222222223,6,1,3.280312766483584,23.497212555650368,-3.772838129106475,-6.9894056569869285
2018-10-29,7.0,19.0,2018,10,29,44,4,Autumn,2.0966771598461,0,0,5.144108504234594,28.32441029888229,-7.415763588153805,-8.121181402552754
2018-10-30,13.0,28.0,2018,10,30,44,4,Autumn,2.1546236688526563,1,0,4.619700507875037,21.322611086607345,16.089332205033536,0.34830393338257726
2018-10-31,27.0,16.0,2018,10,31,44,4,Autumn,2.3203329837441005,2,0,-5.959000573140572,23.622076100676978,24.138883441860393,0.5219670339807753
2018-11-01,15.0,22.0,2018,11,1,44,4,Autumn,1.6907919957065092,3,0,2.7993133041472142,4.077826991612164,-2.059889693118341,-4.343814050923121
2018-11-02,12.0,17.0,2018,11,2,44,4,Autumn,1.9424252603291905,4,0,11.085395214379874,-4.346354184204438,0.6477705156171663,-4.130935557916916
2018-11-03,14.0,21.0,2018,11,3,44,4,Autumn,1.7458003952569168,5,1,11.020632858282937,-4.015606348228223,-0.36236703562406225,-1.9412130173720537
2018-11-04,13.0,20.0,2018,11,4,44,4,Autumn,1.6163612163407393,6,1,9.713980685907812,5.095330400830129,-2.662465262351345,-1.4621918077353546
2018-11-05,24.0,15.0,2018,11,5,45,4,Autumn,2.0172442799461643,0,0,-6.97836617814552,17.110846690332302,1.7065001871179983,-1.9135195477990363
2018-11-06,9.0,27.0,2018,11,6,45,4,Autumn,2.084234768650988,1,0,2.6257164520808054,9.689925052532068,-3.5358254301263092,-4.455293381669135
2018-11-07,13.0,25.0,2018,11,7,45,4,Autumn,2.1094171528954138,2,0,1.8224859810247704,0.8514731216425457,-1.4469592359881285,-2.5607873997497723
2018-11-08,21.0,21.0,2018,11,8,45,4,Autumn,2.0702822357498616,3,0,-23.640269557494985,1.6505800319058743,15.53560002680894,-2.172662595194526
2018-11-09,21.0,21.0,2018,11,9,45,4,Autumn,2.2095622701377367,4,0,5.75424623164681,4.758941706551236,0.2288660288977342,-4.799910524792596
2018-11-10,10.0,22.0,2018,11,10,45,4,Autumn,1.8763379035824856,5,1,1.712255706487627,4.111586311327072,-2.3091650480025874,-2.4488643870580034
2018-11-11,14.0,17.0,2018,11,11,45,4,Autumn,1.7444180911098388,6,1,-3.2278025229507117,0.46842082503850374,-2.4622758999051326,0.2959403896790934
2018-11-12,24.0,16.0,2018,11,12,46,4,Autumn,2.0374931205283437,0,0,-16.00667474919357,-4.668159643395378,-0.14380418947466428,-3.6203082154473365
2018-11-13,29.0,15.0,2018,11,13,46,4,Autumn,2.061510491629422,1,0,74.93313376724093,-7.674584145403551,3.867990292372032,0.8842592703334338
2018-11-14,28.0,16.0,2018,11,14,46,4,Autumn,2.066897637795276,2,0,-15.861011548445795,-4.4777731637094025,26.195057256672655,2.6820281623761124
2018-11-15,21.0,20.0,2018,11,15,46,4,Autumn,2.187974596161812,3,0,-17.21868819968224,7.973937547363633,51.24280470811369,7.9045038475410605
2018-11-16,14.0,15.0,2018,11,16,46,4,Autumn,2.1240864315220844,4,0,-14.935497245837375,-7.407232143071021,2.268645752145201,-4.743621651537885
2018-11-17,19.0,7.0,2018,11,17,46,4,Autumn,1.8142639851275983,5,1,-14.110758041252497,-1.2964265537718478,2.0308934539352324,-6.009529237101458
2018-11-18,14.0,14.0,2018,11,18,46,4,Autumn,1.6513409961685823,6,1,-15.764685055925245,9.569876438946363,5.317358974201278,-4.954458666859947
2018-11-19,17.0,25.0,2018,11,19,47,4,Autumn,2.0617223198594026,0,0,-15.73705064141458,17.326787543043864,-1.6433502726280131,-5.250123118929066
2018-11-20,18.0,26.0,2018,11,20,47,4,Autumn,2.0978203083466243,1,0,6.324484337147761,19.248260594629812,-3.3415713190250504,-5.063539915202007
2018-11-21,16.0,29.0,2018,11,21,47,4,Autumn,2.100465313028765,2,0,-3.260172714821436,7.517366479844916,-3.6407457641140746,-3.8641031621544446
2018-11-22,23.0,24.0,2018,11,22,47,4,Autumn,2.0946991822429912,3,0,8.056737498803127,-1.741367397081617,-0.5422524655647714,-4.077964104227072
2018-11-23,31.0,16.0,2018,11,23,47,4,Autumn,2.2115047351806383,4,0,6.811242150715695,3.9931791199708684,1.6849249728394706,-6.651617110444084
2018-11-24,17.0,14.0,2018,11,24,47,4,Autumn,1.9240918437285808,5,1,5.9898426440707935,1.0790481201159494,-1.342335735108815,-5.112657749099995
2018-11-25,10.0,18.0,2018,11,25,47,4,Autumn,1.6854048964218455,6,1,6.6544374443741265,9.692853049375492,-1.9690242272015832,-5.796341052960163
2018-11-26,12.0,22.0,2018,11,26,48,4,Autumn,2.0988457665194824,0,0,7.524934046337338,11.18862883533178,0.7891197375127671,-7.041950343281346
2018-11-27,23.712691771269174,25.0,2018,11,27,48,4,Autumn,2.0748003922117944,1,0,8.038562011555646,-3.13043743471262,0.3332054250660416,-4.980731359452576
2018-11-28,25.0,28.0,2018,11,28,48,4,Autumn,2.110087751105954,2,0,8.184189239079982,-8.13331690266771,1.6392515537320203,-4.42345164061706
